Date,Track,RaceNumber,HorseNumber,HorseName,Weight,RSRLastRun,Barrier,Jockey,Odds,Trainer,RunsFromSpell,DaysSinceLastRun,LastStartFinishPosition,Distance,Age,Starts,FinishPosition,RSR
7/11/2023,Ascot,1,1,Go Go Grommet,58.5,68.13333333,3,Madi Derrick,3.099999905,Tiarnna Robertson,0,110,9,1000,4,5,3,76.97500013
7/11/2023,Ascot,1,2,Bayezid,59,72.82500026,2,Jarrad Noske,5,Tiarnna Robertson,3,13,4,1000,4,9,1,83.7
7/11/2023,Ascot,1,3,Deep Point,59,63.99999974,4,Clinton Porter,12,C & M Gangemi,0,90,8,1000,4,8,6,75.17500026
7/11/2023,Ascot,1,4,Rockaria,58.5,65.34999988,1,S Parnham,13,T M Wolfe,5,19,5,1000,4,7,4,75.05
7/11/2023,Ascot,1,5,Dreamers Never Die,57.5,61.49583311,5,Chris Parnham,3.299999952,Luke Fernie,0,143,8,1000,3,3,5,74.25
7/11/2023,Ascot,1,6,Leading Taddy,57.5,72.22499995,6,S Mc Gruddy,5.5,A W Maley,3,13,3,1000,3,8,2,77.27500007
7/11/2023,Ascot,2,1,It's Trumps,58,57.71874984,2,Michael Poy,101,Robyn Cottman,0,117,9,1500,8,20,12,31.5000014
7/11/2023,Ascot,2,2,Keep It Hush,56.5,57.74142012,4,Keshaw Dhurun,151,Daniel O'Connor,2,12,9,1500,7,29,11,63.11666649
7/11/2023,Ascot,2,3,Northeast Eagle,58,66.50833348,8,Jarrad Noske,61,Tiarnna Robertson,3,13,7,1500,5,16,9,66.51666702
7/11/2023,Ascot,2,4,Secrecy,58,73,5,Joseph Azzopardi,12,R C McPherson,1,12,2,1500,4,8,3,77.15000004
7/11/2023,Ascot,2,6,Fioreyes,58,68.95000029,11,S Mc Gruddy,151,A W Maley,0,272,9,1500,4,2,10,64.31666649
7/11/2023,Ascot,2,7,Autumn Rebel,56,80.96785719,10,Clinton Porter,2.099999905,D T McAuliffe,2,17,5,1500,3,5,1,77.2
7/11/2023,Ascot,2,8,Full Of Merit,56,73.90625,12,Holly Watson,8,D M Luciani,4,45,6,1500,4,7,2,76.09999996
7/11/2023,Ascot,2,9,Big Player,56,68.97446809,7,Chris Parnham,12,Luke Fernie,3,12,3,1500,3,8,7,68.03333333
7/11/2023,Ascot,2,10,Stylish Lord,56,71.26153856,9,S Parnham,16,Russell Stewart,2,19,2,1500,3,2,5,74.26666662
7/11/2023,Ascot,2,11,Keep A Knockin',56,57.70000081,3,P Carbery,151,Ryan Hill,1,9,11,1500,3,2,8,66.93333351
7/11/2023,Ascot,2,12,Grand Reserve,56,67.63900719,6,B Parnham,26,D L Morton,2,12,5,1500,3,2,4,74.26666662
7/11/2023,Ascot,2,13,Processio,54,71.7072202,1,W Pike,3.400000095,G & A Williams,1,12,3,1500,3,1,6,71.19999983
7/11/2023,Ascot,3,1,Beats Of War,60,69.09166678,4,Joseph Azzopardi,14,D T McAuliffe,2,20,10,1500,4,6,6,69.16666667
7/11/2023,Ascot,3,2,Samaria,59,66.42485238,7,W Pike,3.700000048,Mitchell Pateman,5,12,8,1500,5,10,7,65.98333298
7/11/2023,Ascot,3,3,Kiralui,58.5,71,3,Chris Parnham,5,D & B Pearce,3,12,1,1500,4,3,5,68.33333342
7/11/2023,Ascot,3,4,Marinsky Ballet,58.5,70.36785719,8,Jarrad Noske,9.5,D L Morton,3,9,4,1500,5,9,3,72.18333325
7/11/2023,Ascot,3,5,Celebrity Icon,57.5,65.95714323,6,S Parnham,9,Luke Fernie,2,27,7,1500,4,15,4,70.09999983
7/11/2023,Ascot,3,6,Ima Wild Girl,57,74.21785724,2,Clinton Porter,5.5,D & B Pearce,4,17,9,1500,3,8,2,72.08333329
7/11/2023,Ascot,3,7,Ecstasy Of Gold,56.5,75.3,1,Holly Watson,7.5,Greg Cave,4,12,1,1500,3,13,1,73.7
7/11/2023,Ascot,3,8,Visions Of Grace,56,59.21666645,5,B Parnham,9,Ms A King,1,13,8,1500,4,8,8,59.55
7/11/2023,Ascot,4,1,Odin Omen,59,66.46785752,1,S Mc Gruddy,5.5,A W Maley,3,13,7,1200,3,6,7,71.73333333
7/11/2023,Ascot,4,2,Playball,59,71.03750005,7,B Parnham,6,N D Parnham,3,6,2,1200,3,3,4,75.39999978
7/11/2023,Ascot,4,3,Transcribe,59,NULL,4,W Pike,8.5,Takahide Ikenushi,0,NULL,NULL,1200,3,0,5,75.17083333
7/11/2023,Ascot,4,4,Weapons Hot,59,73.15541513,8,Chris Parnham,11,Luke Fernie,3,12,2,1200,3,3,3,77.00416656
7/11/2023,Ascot,4,6,Riseanfall,56.5,75.08333332,5,Brandon Louis,4.800000191,Ms J Kelly,2,13,2,1200,3,2,2,76.83750005
7/11/2023,Ascot,4,7,Cher,57,69.8036101,6,Holly Watson,3.799999952,T M Andrews,1,12,2,1200,3,1,1,79.3
7/11/2023,Ascot,4,8,Lifeisbutadream,57,NULL,2,Clinton Porter,7.5,Jayson Hines,0,NULL,NULL,1200,3,0,6,71.50833311
7/11/2023,Ascot,4,9,Stolen Valour,56,44.72500105,3,S Parnham,51,Russell Stewart,2,19,8,1200,3,4,8,59.70833377
7/11/2023,Ascot,5,1,Blazing Tycoon,60,69.93214276,5,Jordan Turner,21,William Lewthwaite,1,17,8,1400,8,53,5,81.06071419
7/11/2023,Ascot,5,2,Long Weekend,58,77.12083355,8,Madi Derrick,21,William Lewthwaite,5,6,8,1400,6,24,4,80.24642867
7/11/2023,Ascot,5,3,Forever Dreaming,56,80.72857141,2,Luke Campbell,6,C H Webster,5,17,3,1400,5,20,3,79.03928567
7/11/2023,Ascot,5,4,Captain Pluto,57.5,71.94999971,1,W Pike,2.5,G & A Williams,0,143,11,1400,4,8,2,81.81071426
7/11/2023,Ascot,5,5,Split Jete,57.5,74.82142838,4,Holly Watson,8,Steven Burton,4,24,12,1400,5,24,7,72.18571466
7/11/2023,Ascot,5,6,Climb On Top,57,78.70416656,3,Clinton Porter,3.700000048,D & B Pearce,1,10,4,1400,4,5,1,82
7/11/2023,Ascot,5,7,Zadar Rock,55.5,75.95,6,Keshaw Dhurun,18,J P Taylor,0,108,10,1400,5,20,8,68.81785733
7/11/2023,Ascot,5,8,Royal Gap,54.5,77.05,7,S Mc Gruddy,13,A W Maley,1,11,5,1400,5,30,6,72.73214276
7/11/2023,Ascot,6,1,Mercurius,60,77.3,3,Holly Watson,7.5,Steven Burton,5,20,1,1800,5,16,9,66.58333304
